clientid_cr,pubclientid_cr,siteId_cr,countryDimId_cr,adslotdimid_cr,itemcolumbiaid_cr,ispDimId_cr,osVerDimId_cr,conversion_fraud,clmbuserid_cr,imprid_cr
330,82663,3166,144.0,349642,5618155,136127.0,0.0,1,0.7027422303473492,0.7027422303473492
330,2658,3,144.0,332783,5617956,136127.0,0.0,1,0.7027422303473492,0.7027422303473492
330,2310,16,144.0,323085,5618155,151879.0,0.0,1,0.7027422303473492,0.7027422303473492
910,16153,1057,433.0,319522,5604001,146453.0,360956.0,1,0.7027422303473492,0.7027422303473492
910,2308,432,1153.0,211156,5609888,168015.0,359469.0,1,0.7027422303473492,0.7027422303473492
910,2658,667,423.0,308708,5612209,168516.0,0.0,1,0.7027422303473492,0.7027422303473492
910,85383,3327,1021.0,358006,5612209,0.0,0.0,1,0.7027422303473492,0.7027422303473492
910,29110,2937,417.0,357800,5612209,163532.0,360956.0,1,0.7027422303473492,0.7027422303473492
910,82908,3182,433.0,350059,5601794,0.0,360833.0,1,0.7027422303473492,0.7027422303473492
910,80269,3044,417.0,341624,5612209,275235.0,206069.0,1,0.7027422303473492,0.7027422303473492
910,77853,2959,433.0,336432,5614994,146453.0,360833.0,1,0.7027422303473492,0.7027422303473492
910,15240,179,1153.0,210792,5601814,168015.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,85030,3290,144.0,357097,5612584,153317.0,199414.0,1,0.9645660052636265,0.7027422303473492
549,85030,3290,144.0,357097,5609984,153317.0,199414.0,1,0.9645660052636265,0.7027422303473492
549,85030,3290,144.0,357097,5609984,153317.0,199414.0,1,0.9946534593421644,0.7027422303473492
549,85030,3290,144.0,357097,5612584,153317.0,199414.0,1,0.9946534593421644,0.7027422303473492
549,2309,9,144.0,251632,5612218,273191.0,0.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5612221,273302.0,359921.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,136127.0,360956.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5612582,280429.0,206070.0,1,0.7027422303473492,0.7027422303473492
549,85030,3290,144.0,357097,5612218,153317.0,199414.0,1,0.9946534593421644,0.7027422303473492
549,85030,3290,144.0,357097,5612218,153317.0,199414.0,1,0.9946534593421644,0.7027422303473492
549,85030,3290,144.0,357097,5609984,153317.0,199414.0,1,0.7027422303473492,0.7027422303473492
549,38513,2558,144.0,326272,5612584,153317.0,199414.0,1,0.9200550729163415,0.7027422303473492
549,16153,2627,144.0,322158,5612582,280429.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5612582,136127.0,360956.0,1,0.7027422303473492,0.7027422303473492
549,16153,1057,144.0,319523,5610383,187725.0,206070.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,266737.0,359921.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,136127.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,280429.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,2309,9,144.0,251632,5612584,273191.0,0.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,280429.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,85030,3290,144.0,357097,5609984,187725.0,0.0,1,0.7027422303473492,0.7027422303473492
549,85030,3290,144.0,357097,5609984,153317.0,199414.0,1,0.9946534593421644,0.7027422303473492
549,2658,3,144.0,207248,5609989,280429.0,360788.0,1,0.7027422303473492,0.7027422303473492
549,65594,2602,144.0,321524,5612615,267504.0,360833.0,1,0.9200550729163415,0.7027422303473492
549,16153,2627,144.0,322158,5610383,136127.0,359921.0,1,0.9200550729163415,0.7027422303473492
549,16153,2627,144.0,322158,5612221,187725.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5610383,136127.0,359921.0,1,0.7027422303473492,0.7027422303473492
549,16258,2147,144.0,317623,5612615,136127.0,0.0,1,0.7027422303473492,0.7027422303473492
549,16153,2627,144.0,322158,5612582,266906.0,360833.0,1,0.7027422303473492,0.7027422303473492
549,85030,3290,144.0,357097,5609984,153317.0,199414.0,1,0.9200550729163415,0.7027422303473492
549,16153,2627,144.0,322158,5612582,136127.0,359921.0,1,0.7027422303473492,0.7027422303473492
549,2309,9,144.0,251632,5612584,273191.0,0.0,1,0.7027422303473492,0.7027422303473492
