cityGrpDimId_cr,clickbid_cr,clickTimeInMillis_cr,templateid_cr,stateGrpDimId_cr,osVerDimId_cr,osId_cr,browserId_cr,modelDimId_cr,position_cr,cityId_cr,algo_cr,conversionDurationInMillis_cr,stateId_cr,ispDimId_cr,countryDimId_cr,impressionTimeInMillis_cr,uuidSource_cr,geoGrpDimId_cr,v_cr,conversiontime_cr,adslotdimid_cr,itemcolumbiaid_cr,geodimid_cr,conversion_fraud,itemid_cr,pubclientid_cr,siteId_cr,goalid_cr,time_cr,adLogType_cr,pricingtype_cr,lookUpFrom_cr,goalTypeId_cr,clientid_cr
348007.0,2.8693159360000005,1620000000000.0,4140.0,348022.0,199452.0,196058.0,129639.0,202038.0,1.0,436.0,38.0,2332.0,1806.0,280429.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,321300.0,5488088.0,144.0,1.0,49504155.0,2320.0,34.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348010.0,2.79,1620000000000.0,663.0,348024.0,199452.0,196058.0,129639.0,202038.0,1.0,10314.0,38.0,3201.0,1817.0,136127.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,129239.0,5488773.0,144.0,1.0,49504157.0,15240.0,178.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.040257649,2.79,1620000000000.0,4144.0,348027.0,199452.0,196058.0,129639.0,202038.0,1.0,0.0,21.0,2821.0,1812.0,172725.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,321554.0,5488088.0,144.0,1.0,49504160.0,2320.0,34.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.0,2.79,1620000000000.0,4140.0,348023.0,199452.0,196058.0,129639.0,202038.0,1.0,10300.0,38.0,3144.0,1815.0,136127.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,321300.0,5488088.0,144.0,1.0,49504155.0,2320.0,34.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.040257649,3.512760498134529,1620000000000.0,3709.2412587412587,348025.0,360833.0,129311.0,129408.0,0.0,1.0,0.0,21.0,42597.0,1818.0,136127.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,355768.0,5614054.0,144.0,1.0,53607445.0,1.0,3296.0,3370.0,1620000000000.0,2.0,17.0,2.0,10.0,30431.0
348010.0,2.79,1620000000000.0,663.0,348024.0,199452.0,196058.0,129639.0,202038.0,1.0,10314.0,38.0,1237.0,1817.0,136127.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,129239.0,5488773.0,144.0,1.0,49504157.0,15240.0,178.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.0,3.1,1620000000000.0,4140.0,348023.0,199452.0,196058.0,129639.0,202038.0,2.0,439.0,38.0,2632.0,1815.0,136127.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,321300.0,5488088.0,144.0,1.0,49504155.0,2320.0,34.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.040257649,3.1,1620000000000.0,5451.0,348024.0,199414.0,196063.0,129639.0,202038.0,1.0,0.0,39.0,5931.0,2571.0,150208.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,355900.0,5488773.0,144.0,1.0,49504155.0,2308.0,4.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
348007.040257649,1.0,1620000000000.0,2946.0,348022.9395348837,0.0,196061.0,0.0,0.0,2.0,0.0,21.0,14810.0,2442.0,265618.0,145.0,1620000000000.0,1.0,348012.0,1.0,1620000000000.0,233531.0,5526656.0,145.0,1.0,47164455.0,2658.0,3.0,8628.0,1620000000000.0,2.0,16.0,2.0,10.0,82122.0
348007.0,3.1,1620000000000.0,5167.0,348023.0,199452.0,196058.0,129639.0,202038.0,1.0,439.0,18.0,8901.0,1815.0,280429.0,144.0,1620000000000.0,1.0,348011.0,1.0,1620000000000.0,356952.0,5488088.0,144.0,1.0,49504160.0,85030.0,3290.0,6384.0,1620000000000.0,2.0,16.0,2.0,10.0,75694.0
